Designator,Mid X,Mid Y,Rotation,Layer
C1,112.0,-47.0,0.0,bottom
D1,38.0,-55.05,90.0,bottom
D10,57.0,-93.05,90.0,bottom
D11,76.0,-93.05,90.0,bottom
D12,95.0,-93.05,90.0,bottom
D13,38.0,-112.05,90.0,bottom
D14,57.0,-112.05,90.0,bottom
D15,76.0,-112.05,90.0,bottom
D16,95.0,-112.05,90.0,bottom
D2,57.0,-55.05,90.0,bottom
D3,76.0,-55.05,90.0,bottom
D4,95.0,-55.0,90.0,bottom
D5,38.0,-74.05,90.0,bottom
D6,57.0,-74.05,90.0,bottom
D7,76.0,-74.05,90.0,bottom
D8,95.0,-74.05,90.0,bottom
D9,38.0,-93.05,90.0,bottom
J1,106.0,-58.5,90.0,top
J2,118.5,-58.11,0.0,top
LED1,86.5,-58.58,180.0,bottom
LED10,67.5,-96.58,180.0,bottom
LED11,48.5,-96.58,180.0,bottom
LED12,29.5,-96.58,180.0,bottom
LED13,29.5,-115.58,0.0,bottom
LED14,48.5,-115.58,0.0,bottom
LED15,67.5,-115.58,0.0,bottom
LED16,86.5,-115.58,0.0,bottom
LED2,67.5,-58.58,180.0,bottom
LED3,48.5,-58.58,180.0,bottom
LED4,29.5,-58.58,180.0,bottom
LED5,29.5,-77.58,0.0,bottom
LED6,48.5,-77.58,0.0,bottom
LED7,67.5,-77.58,0.0,bottom
LED8,86.5,-77.58,0.0,bottom
LED9,86.5,-96.58,180.0,bottom
R1,110.0,-47.5,270.0,bottom
R2,113.0,-49.0,0.0,bottom
R3,104.0,-33.0,90.0,bottom
S6,109.675,-108.0,0.0,top
SW1,29.5,-53.5,0.0,top
SW10,48.5,-91.5,0.0,top
SW11,67.5,-91.5,0.0,top
SW12,86.5,-91.5,0.0,top
SW13,29.5,-110.5,0.0,top
SW14,48.5,-110.5,0.0,top
SW15,67.5,-110.5,0.0,top
SW16,86.5,-110.5,0.0,top
SW17,106.75,-64.75,0.0,top
SW2,48.5,-53.5,0.0,top
SW3,67.5,-53.5,0.0,top
SW4,86.5,-53.5,0.0,top
SW5,29.5,-72.5,0.0,top
SW6,48.5,-72.5,0.0,top
SW7,67.5,-72.5,0.0,top
SW8,86.5,-72.5,0.0,top
SW9,29.5,-91.5,0.0,top
U1,110.0,-41.225,0.0,top
U2,109.9,-28.875,180.0,bottom
U3,110.1,-43.4,90.0,bottom
